UID          PID    PPID  C STIME TTY          TIME CMD
praveen+     936     881  0 18:36 ?        00:00:00 xfce4-session
praveen+     980     936  0 18:36 ?        00:00:00 /usr/bin/ssh-agent x-session-manager
praveen+     991     888  0 18:36 ?        00:00:00 /usr/libexec/at-spi-bus-launcher
praveen+     998     991  0 18:36 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 11 --address=unix:path=/run/user/1000/at-spi/bus_0
praveen+    1009     888  0 18:36 ?        00:00:00 /usr/libexec/at-spi2-registryd --use-gnome-session
praveen+    1022     888  0 18:36 ?        00:00:00 /usr/bin/gpg-agent --supervised
praveen+    1024     936  0 18:36 ?        00:00:04 xfwm4
praveen+    1028     888  0 18:36 ?        00:00:00 /usr/libexec/gvfsd
praveen+    1034     888  0 18:36 ?        00:00:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f
praveen+    1049     936  0 18:36 ?        00:00:00 xfsettingsd
root        1053       1  0 18:36 ?        00:00:00 /usr/libexec/upowerd
praveen+    1059     936  0 18:36 ?        00:00:01 xfce4-panel
praveen+    1064     936  0 18:36 ?        00:00:00 Thunar --daemon
praveen+    1075     936  0 18:36 ?        00:00:01 xfdesktop
praveen+    1079    1059  0 18:36 ?        00:00:01 /usr/lib/aarch64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/aarch64-linux-gnu/xfce4/panel/plugins/libwhiskermenu.so 1 16777223 whiskermenu Whisker Menu Show a menu to easily access installed applications
praveen+    1088     936  0 18:36 ?        00:00:00 nm-applet
praveen+    1091     936  0 18:36 ?        00:00:00 xiccd
praveen+    1093     936  0 18:36 ?        00:00:00 /usr/lib/aarch64-linux-gnu/xfce4/notifyd/xfce4-notifyd
praveen+    1105     936  0 18:36 ?        00:00:00 xfce4-power-manager
colord      1108       1  0 18:36 ?        00:00:00 /usr/libexec/colord
praveen+    1109     888  0 18:36 ?        00:00:00 /usr/libexec/dconf-service
praveen+    1124     936  0 18:36 ?        00:00:00 light-locker
praveen+    1133     936  0 18:36 ?        00:00:00 /usr/lib/policykit-1-gnome/polkit-gnome-authentication-agent-1
praveen+    1136     936  0 18:36 ?        00:00:00 /usr/bin/python3 /usr/bin/blueman-applet
praveen+    1137    1059  0 18:36 ?        00:00:00 /usr/lib/aarch64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/aarch64-linux-gnu/xfce4/panel/plugins/libsystray.so 14 16777229 systray Status Tray Plugin Provides status notifier items (application indicators) and legacy systray items
praveen+    1138     936  0 18:36 ?        00:00:00 /usr/libexec/geoclue-2.0/demos/agent
praveen+    1141    1059  0 18:36 ?        00:00:15 /usr/lib/aarch64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/aarch64-linux-gnu/xfce4/panel/plugins/libgenmon.so 15 16777230 genmon Generic Monitor Show output of a command.
praveen+    1143    1059  0 18:36 ?        00:00:00 /usr/lib/aarch64-linux-gnu/xfce4/panel/wrapper-2.0 /usr/lib/aarch64-linux-gnu/xfce4/panel/plugins/libpulseaudio-plugin.so 16 16777231 pulseaudio PulseAudio Plugin Adjust the audio volume of the PulseAudio sound system
